投稿日,サムネイルURL,再生数,クリック率,平均再生率
2026/01/31,https://img.youtube.com/vi/UYtpZ3xboAs/maxresdefault.jpg,261,8.5,21.19
2026/02/02,https://img.youtube.com/vi/1FnCxqJo_F0/maxresdefault.jpg,59,3.94,15.57
2026/02/04,https://img.youtube.com/vi/B-n2trhnnhA/maxresdefault.jpg,18,2.33,18.32
2026/02/06,https://img.youtube.com/vi/m3lg4mwwsmU/maxresdefault.jpg,26,1.38,31.32
2026/02/09,https://img.youtube.com/vi/6F8DsdS9ENk/maxresdefault.jpg,18,1.49,21.35
2026/02/11,https://img.youtube.com/vi/algqjkAOa7I/maxresdefault.jpg,5,78,8.43
2026/02/13,https://img.youtube.com/vi/_ZeGfL_ivZc/maxresdefault.jpg,18,1.92,16.05
2026/02/16,https://img.youtube.com/vi/TF7yjoNTpiM/maxresdefault.jpg,18,1.88,23.84
2026/02/18,https://img.youtube.com/vi/Hlv1OetHkwM/maxresdefault.jpg,736,6.05,34.01
2026/02/20,https://img.youtube.com/vi/p6zS68M1S1s/maxresdefault.jpg,"35,684",6.11,24.41
2026/02/23,https://img.youtube.com/vi/WUAMIS98Wx4/maxresdefault.jpg,30,1.73,31.01
2026/02/25,https://img.youtube.com/vi/uTpR8iMzu1U/maxresdefault.jpg,287,4.19,32.74
2026/02/27,https://img.youtube.com/vi/1F25NG_Ncr4/maxresdefault.jpg,21,1.31,63.35
2026/03/02,https://img.youtube.com/vi/vgBavY7qWa0/maxresdefault.jpg,41,2.28,26.9
2026/03/04,https://img.youtube.com/vi/C5xGlx2Ee5o/maxresdefault.jpg,49,1.81,22.67
2026/03/06,https://img.youtube.com/vi/45P23znHSBU/maxresdefault.jpg,13,1.43,22.97
2026/03/09,https://img.youtube.com/vi/Hcp-1d4brr8/maxresdefault.jpg,22,1.05,42.68
2026/03/11,https://img.youtube.com/vi/iG4LeDnI4TU/maxresdefault.jpg,27,1.23,42.91
2026/03/13,https://img.youtube.com/vi/NLaU1HsVQbM/maxresdefault.jpg,51,3.42,35.51
2026/03/16,https://img.youtube.com/vi/JPjMZTGdFho/maxresdefault.jpg,318,8.51,33.52
2026/03/18,https://img.youtube.com/vi/Vb3uegZYN84/maxresdefault.jpg,54,2.6,27.54
2026/03/20,https://img.youtube.com/vi/JPapIyCRIi4/maxresdefault.jpg,35,1.04,39.67
2026/03/23,https://img.youtube.com/vi/-ST105n8tL0/maxresdefault.jpg,22,1.23,37.15
2026/03/25,https://img.youtube.com/vi/weqEhOBHyVk/maxresdefault.jpg,25,2.63,29.71
2026/03/27,https://img.youtube.com/vi/KlVq4fhWaSI/maxresdefault.jpg,46,2.2,27.07
2026/03/30,https://img.youtube.com/vi/GAHupzi4DnI/maxresdefault.jpg,44,1.35,30.88
2026/04/01,https://img.youtube.com/vi/50PTm_wiby4/maxresdefault.jpg,42,1.46,36.18
2026/04/03,https://img.youtube.com/vi/az5HmL7IpdE/maxresdefault.jpg,84,2.05,32.08
2026/04/06,https://img.youtube.com/vi/h2Z7Gp-tu1w/maxresdefault.jpg,67,2.42,45.5
2026/04/08,https://img.youtube.com/vi/BMlLGJoYz2s/maxresdefault.jpg,28,1.43,40.75
2026/04/10,https://img.youtube.com/vi/sgeM6Aav6v8/maxresdefault.jpg,63,2.67,39.92
2026/04/13,https://img.youtube.com/vi/dUJ4JhQUC-o/maxresdefault.jpg,48,2.14,38.42
2026/04/15,https://img.youtube.com/vi/dex43Knub7Y/maxresdefault.jpg,126,3.07,38.04
2026/04/17,https://img.youtube.com/vi/vJGtWR4Ezqw/maxresdefault.jpg,69,1.92,45.22
2026/04/20,https://img.youtube.com/vi/tbQjQOCaRhY/maxresdefault.jpg,"2,268",6.69,20.87
2026/04/22,https://img.youtube.com/vi/SM0piK2eaG0/maxresdefault.jpg,"9,131",7.7,29.5
2026/04/24,https://img.youtube.com/vi/EL8xw1dI5mY/maxresdefault.jpg,328,4.78,31.16
2026/04/27,https://img.youtube.com/vi/ViVIr8HWLPM/maxresdefault.jpg,185,3.2,40.8
2026/04/29,https://img.youtube.com/vi/zunyJyIhIfc/maxresdefault.jpg,"1,827",4.59,20.9
2026/05/01,https://img.youtube.com/vi/RCeYu3FoKC4/maxresdefault.jpg,165,2.76,33.94
2026/05/04,https://img.youtube.com/vi/LFsF-OorG3Y/maxresdefault.jpg,160,2.84,30.79
2026/05/06,https://img.youtube.com/vi/1T_EodnnOAE/maxresdefault.jpg,170,3.18,27.82
2026/05/08,https://img.youtube.com/vi/fYystWeWqDU/maxresdefault.jpg,232,2.51,40.09
2026/05/11,https://img.youtube.com/vi/WgXnRVdJ4lA/maxresdefault.jpg,216,3.84,31.74
2026/05/13,https://img.youtube.com/vi/uJ44c0YpMRA/maxresdefault.jpg,"2,488",4.82,24.03
2026/05/15,https://img.youtube.com/vi/oBC2UykrH5o/maxresdefault.jpg,"76,024",4.84,25.53
2026/05/18,https://img.youtube.com/vi/cqM8md4LBCk/maxresdefault.jpg,276,3.8,32.31
2026/05/20,https://img.youtube.com/vi/JBkPt9PfnP4/maxresdefault.jpg,304,3.84,32.8
2026/05/22,https://img.youtube.com/vi/fD-ETpTZFzo/maxresdefault.jpg,156,2.86,32.97
2026/05/25,https://img.youtube.com/vi/Dkhh4F-h3xQ/maxresdefault.jpg,201,3.22,36.28
2026/05/27,https://img.youtube.com/vi/J1nP8qvRAmo/maxresdefault.jpg,"1,284",6.63,23.77
2026/05/29,https://img.youtube.com/vi/Hv259co5ufw/maxresdefault.jpg,275,3.89,31.62
2026/06/01,https://img.youtube.com/vi/MQ3kqLkdnJk/maxresdefault.jpg,"2,798",7.39,21.12
2026/06/03,https://img.youtube.com/vi/JMoSbNpc_CU/maxresdefault.jpg,141,2.48,36.49
2026/06/05,https://img.youtube.com/vi/CEnedAngO4Y/maxresdefault.jpg,248,4.15,34.33
2026/06/08,https://img.youtube.com/vi/RBMfWtuK9mQ/maxresdefault.jpg,"1,630",6.59,15.51
2026/06/10,https://img.youtube.com/vi/vizIfAE6yQc/maxresdefault.jpg,"3,378",4.58,29.52
2026/06/12,https://img.youtube.com/vi/GsatNXMZafQ/maxresdefault.jpg,"1,542",6.9,29.87
2026/06/15,https://img.youtube.com/vi/xT-fJ4Qwh3k/maxresdefault.jpg,"5,853",6.35,25.92
2026/06/17,https://img.youtube.com/vi/et7NA-7Dpi0/maxresdefault.jpg,"2,768",4.62,25.68
2026/06/19,https://img.youtube.com/vi/sBDdw4Ft9Ns/maxresdefault.jpg,138,3.39,31.71
2026/06/22,https://img.youtube.com/vi/G8HMGTJCkCQ/maxresdefault.jpg,"2,370",5.34,28.2
2026/06/24,https://img.youtube.com/vi/PxmxbxABlm0/maxresdefault.jpg,319,4,21
2026/06/26,https://img.youtube.com/vi/7Y7qEXdI9K0/maxresdefault.jpg,478,5.18,41.17
2026/06/29,https://img.youtube.com/vi/XICvaoKNwPM/maxresdefault.jpg,189,4.05,34.79
2026/07/01,https://img.youtube.com/vi/K824TbZINLg/maxresdefault.jpg,"2,376",5.56,28.22
2026/07/03,https://img.youtube.com/vi/qxmDDHxXy_Y/maxresdefault.jpg,219,5.43,36.27
2026/07/06,https://img.youtube.com/vi/e18njItIdQ0/maxresdefault.jpg,"5,118",6.44,30.35
2026/07/08,https://img.youtube.com/vi/4LASSB3n25Q/maxresdefault.jpg,183,4.77,39.25
2026/07/10,https://img.youtube.com/vi/1dgmvo_BIYM/maxresdefault.jpg,168,4.78,27.98
2026/07/13,https://img.youtube.com/vi/9X4S0zEF0lE/maxresdefault.jpg,267,4.57,35.09
2026/07/15,https://img.youtube.com/vi/QsBUmGn4l4E/maxresdefault.jpg,"18,352",5.71,25.31
2026/07/17,https://img.youtube.com/vi/KzOPPK1l84w/maxresdefault.jpg,160,4.64,30.9
2026/07/20,https://img.youtube.com/vi/hS-Z3ON01NY/maxresdefault.jpg,1,0,19.69